,Achilles_maze_PRQ,Achilles_maze_p_val,Buddy_maze_PRQ,Buddy_maze_p_val,Cicero_maze_PRQ,Cicero_maze_p_val,Gatsby_maze_PRQ,Gatsby_maze_p_val,Achilles_REM_PRQ,Achilles_REM_p_val,Buddy_REM_PRQ,Buddy_REM_p_val,Cicero_REM_PRQ,Cicero_REM_p_val,Gatsby_REM_PRQ,Gatsby_REM_p_val,Achilles_premaze_PRQ,Achilles_premaze_p_val
0,0.4416272885789326,0.0175140770956037,0.2466540384093411,0.0260719436241743,0.3015770698037828,6.856721953624575e-06,0.2428127701907456,0.75,0.4980925984852375,0.0077161487268506,1.1691824831517923,0.34375,0.9964994073165254,0.171875,1.424940995572744,0.21197509765625,0.564561593307841,0.03939590484137001
1,-0.4780432612671476,1.0,0.3171520877535764,0.0738310486092634,0.3140421421538152,0.2298456936627765,0.4599238111490052,0.2785985469818115,0.1450794259734092,0.7049733341116822,0.2362863886531947,0.2265625,1.5683161626590596,0.19384765625,0.2036424968956605,0.2785985469818115,0.22819472073812005,0.29052734375
2,0.3218491799144111,2.7793946533415786e-08,3.0079250845107657,0.5,0.3503865389898424,0.0120376047986723,,1.0,0.5420643810084497,0.0435445636118742,-0.2078673839967553,1.0,,1.0,2.344034787483833,0.25,0.4232692710602575,0.0004914936480243258
3,0.6226199630048963,4.7624478097510125e-11,0.425561635617004,0.2025161230703815,0.0580392452579134,0.6438845586813247,0.3762180013374444,0.0013022617154776,0.6286233831525739,0.422509491443634,0.7781326692922598,0.6854705810546875,,1.0,1.058264352344943,0.114761471748352,0.7326425794946839,2.5517555508776003e-05
4,0.3515148442447628,0.0177687310385715,0.4543953576374391,0.007272924410714,,1.0,,1.0,0.861463779301405,0.0576591491699218,0.173823398516495,0.7596588134765625,0.4579122323057237,0.0586376029787061,1.7083310595290546,0.0538760721683502,0.40305666223139414,0.018311192844135505
5,0.2296806511255067,0.0061236498902257,-0.0766938953904294,0.7536638911757239,0.3954392729340868,0.5,0.6483726403781502,0.0005690143140585,0.3897238421856542,0.0079315454270352,-2.6032044412981894,1.0,0.1750168362113489,0.6170040878776035,0.3716049343030052,0.2403411865234375,0.3944451539954156,0.06456880049913577
6,0.3413835841858249,0.0019356290113645,-0.0579771650539331,0.8949432373046875,0.3812380201734308,4.585347859793642e-07,0.5551447709516373,0.0006847265366902,0.7864409548508903,0.0014393050406004,0.2197422893137086,0.2517223358154297,0.508469061796893,0.8125,0.5051984005046585,0.0753376038131519,0.8605097339291076,0.001399902872940587
7,0.4422397072941354,5.74565311138188e-10,0.8684621720013086,0.0176207200893737,0.8415431697792581,0.0120597723871469,0.8353365440357973,0.0113279223442077,0.2837337864791259,0.2167835634143263,0.6635347918623994,0.36328125,0.6358611884237307,0.1149322034845602,0.8249253041080165,0.0919624106884953,0.9165808810197853,0.00012600220114922334
8,0.3724523193127647,9.367668346605116e-07,0.1405259196170544,0.0693989916789156,0.4554894524019303,7.701607625239423e-06,0.2303356917468894,0.1418035542027427,0.7135484087391154,0.0130626393992997,-0.4983876414259868,0.85546875,0.2585714101132026,0.0631447371927151,0.5608560866439675,0.0063489283707346,0.9044104802867514,0.00015527028303853347
9,0.88566587934297,0.0290320733962045,-0.1096019100898068,0.2260817435996303,0.2636261028831165,0.0117439847391852,1.1284655501920606,0.2265625,0.5320380983806242,0.3044603577024143,0.7290963369547481,0.345018982887268,0.2539961828822924,0.0933826849060083,0.8324137538321214,0.1481031842995435,1.3376182323665848,0.00037606303231703874
